dc,Station Number,Year,Month,Day,Total daily global solar exposure in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0030 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0100 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0130 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0200 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0230 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0300 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0330 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0400 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0430 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0500 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0530 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0600 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0630 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0700 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0730 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0800 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0830 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0900 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0930 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1000 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1030 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1100 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1130 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1200 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1230 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1300 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1330 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1400 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1430 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1500 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1530 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1600 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1630 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1700 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1730 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1800 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1830 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1900 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1930 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2000 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2030 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2100 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2130 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2200 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2230 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2300 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2330 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2400 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),#
dc, 86282,2013,07,01, 4.241313,0.1931510, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0017280, 0.007707,0.0029700, 0.047613,0.0043110, 0.091635,0.0059860, 0.109825,0.0062500, 0.166056,0.0079270, 0.187684,0.0080890, 0.241266,0.0094150, 0.218550,0.0082140, 0.596815,0.0269160, 0.544431,0.0193730, 0.487270,0.0163870, 0.728860,0.0300390, 0.331857,0.0128110, 0.131733,0.0057590, 0.114949,0.0055170, 0.082974,0.0047520, 0.080535,0.0050670, 0.039191,0.0036990, 0.025335,0.0033600, 0.005061,0.0029310, 0.001957,0.0016410, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,02, 9.529232,0.4165270, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000241,0.0018250, 0.016431,0.0032430, 0.114823,0.0081030, 0.218470,0.0128150, 0.386730,0.0195670, 0.476613,0.0213080, 0.592644,0.0240810, 0.732151,0.0273090, 0.785985,0.0275450, 0.838190,0.0282770, 0.867766,0.0288360, 0.774887,0.0344350, 0.892029,0.0334690, 0.788658,0.0315180, 0.729805,0.0283440, 0.437757,0.0254400, 0.351456,0.0222810, 0.213853,0.0142200, 0.202271,0.0123390, 0.092594,0.0068740, 0.014647,0.0031460, 0.001221,0.0015440, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,03,10.028259,0.4059340, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000592,0.0018260, 0.017773,0.0032930, 0.107682,0.0076790, 0.238047,0.0138190, 0.375993,0.0188950, 0.505834,0.0224830, 0.619443,0.0248690, 0.712982,0.0264130, 0.786971,0.0274930, 0.839408,0.0282450, 0.864963,0.0285850, 0.860840,0.0284790, 0.827665,0.0291900, 0.784840,0.0275630, 0.707122,0.0263910, 0.610451,0.0247470, 0.495714,0.0223020, 0.347221,0.0181570, 0.207855,0.0134650, 0.099570,0.0072520, 0.016974,0.0032430, 0.000312,0.0015360, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,04, 7.084386,0.3321590, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000399,0.0017290, 0.010119,0.0030060, 0.035734,0.0037290, 0.236220,0.0151710, 0.341655,0.0191220, 0.451742,0.0244830, 0.499431,0.0289580, 0.435064,0.0190030, 0.440315,0.0179350, 0.449161,0.0161710, 0.386607,0.0131440, 0.292989,0.0102590, 0.301075,0.0105870, 0.485076,0.0209260, 0.758867,0.0294370, 0.667093,0.0269840, 0.566746,0.0254620, 0.354921,0.0183460, 0.247396,0.0147640, 0.112701,0.0082730, 0.010992,0.0030300, 0.000074,0.0016320, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,05, 7.448534,0.4284970, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000064,0.0017280, 0.014461,0.0031890, 0.100551,0.0072480, 0.232173,0.0134700, 0.375639,0.0188350, 0.492213,0.0233320, 0.573317,0.0292940, 0.471802,0.0311400, 0.554920,0.0383160, 0.556881,0.0341170, 0.617133,0.0405190, 0.865995,0.0455200, 0.681235,0.0356050, 0.437423,0.0237660, 0.304230,0.0147160, 0.331723,0.0162260, 0.220829,0.0104550, 0.182253,0.0097780, 0.254200,0.0150590, 0.153835,0.0106520, 0.025981,0.0036910, 0.001666,0.0018310, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,06, 6.631048,0.3404860, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0017280, 0.003855,0.0029010, 0.037705,0.0040120, 0.213195,0.0125970, 0.349390,0.0187530, 0.458359,0.0223930, 0.295567,0.0121830, 0.484331,0.0234880, 0.768865,0.0326730, 0.787430,0.0363400, 0.467199,0.0232230, 0.294871,0.0106150, 0.529219,0.0319290, 0.425650,0.0273680, 0.381703,0.0150670, 0.355416,0.0173790, 0.320236,0.0153680, 0.169681,0.0089770, 0.176199,0.0111010, 0.104475,0.0076100, 0.007693,0.0029470, 0.000000,0.0018240, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,07, 6.556588,0.3013860, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000199,0.0019200, 0.015061,0.0031750, 0.106325,0.0075820, 0.246677,0.0141710, 0.381713,0.0189910, 0.511808,0.0225250, 0.529652,0.0214570, 0.410440,0.0152580, 0.574556,0.0297180, 0.742097,0.0342900, 0.395533,0.0133480, 0.533857,0.0194230, 0.697152,0.0281310, 0.351724,0.0125910, 0.352519,0.0165290, 0.229005,0.0100960, 0.180694,0.0088260, 0.116469,0.0065280, 0.110973,0.0070450, 0.058305,0.0050410, 0.011821,0.0030990, 0.000000,0.0016320, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,08, 9.165617,0.4123630, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000062,0.0019200, 0.019321,0.0033600, 0.114432,0.0079930, 0.246199,0.0141190, 0.381565,0.0189510, 0.509950,0.0224070, 0.619989,0.0246050, 0.714983,0.0261990, 0.787612,0.0272310, 0.841627,0.0280390, 0.863307,0.0333570, 0.814020,0.0418060, 0.868318,0.0392060, 0.898504,0.0400220, 0.453805,0.0223470, 0.171471,0.0074310, 0.240438,0.0117280, 0.328695,0.0173040, 0.218179,0.0144090, 0.057370,0.0049150, 0.015220,0.0031820, 0.000541,0.0018240, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,09,10.098746,0.4087170, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000132,0.0019200, 0.017352,0.0032850, 0.119701,0.0082910, 0.253273,0.0144830, 0.389766,0.0193120, 0.518661,0.0227320, 0.631692,0.0250110, 0.721849,0.0263890, 0.790468,0.0272700, 0.834245,0.0277330, 0.875782,0.0285990, 0.904420,0.0295560, 0.730470,0.0304230, 0.812374,0.0301050, 0.798509,0.0293830, 0.672202,0.0268240, 0.523647,0.0232230, 0.260732,0.0140010, 0.121234,0.0075670, 0.105059,0.0075780, 0.016137,0.0031980, 0.001032,0.0018270, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,10,10.451496,0.4153970, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000280,0.0020170, 0.019225,0.0034140, 0.119467,0.0083000, 0.254043,0.0144960, 0.392096,0.0193810, 0.522295,0.0228360, 0.635953,0.0251170, 0.731719,0.0266820, 0.807382,0.0277820, 0.859786,0.0285070, 0.884641,0.0288170, 0.886636,0.0289050, 0.862185,0.0286600, 0.810583,0.0280170, 0.737341,0.0270590, 0.638381,0.0254270, 0.520284,0.0229890, 0.387801,0.0194040, 0.246320,0.0142590, 0.113605,0.0079990, 0.020695,0.0033970, 0.000769,0.0019230, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,11, 7.529022,0.3054900, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000685,0.0019240, 0.019440,0.0033180, 0.088251,0.0064000, 0.181183,0.0105390, 0.230522,0.0116120, 0.319481,0.0141060, 0.394332,0.0157110, 0.460729,0.0169120, 0.555753,0.0192010, 0.714705,0.0238480, 0.842527,0.0277980, 0.684832,0.0228510, 0.402021,0.0137090, 0.510824,0.0179890, 0.641041,0.0241050, 0.562357,0.0240820, 0.436073,0.0194670, 0.294713,0.0148280, 0.100629,0.0063830, 0.067276,0.0052720, 0.021037,0.0034080, 0.000601,0.0020190, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,12, 8.748344,0.3485780, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000147,0.0020160, 0.021484,0.0034400, 0.117367,0.0081490, 0.251068,0.0142680, 0.388047,0.0191440, 0.513261,0.0223320, 0.629878,0.0247540, 0.726655,0.0263600, 0.781380,0.0268210, 0.787430,0.0260580, 0.772416,0.0251620, 0.768168,0.0252410, 0.695778,0.0233800, 0.657492,0.0229030, 0.484970,0.0179740, 0.372885,0.0150630, 0.310557,0.0139230, 0.228063,0.0116210, 0.150934,0.0090090, 0.073233,0.0056080, 0.016488,0.0032310, 0.000637,0.0021130, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,13, 2.023127,0.1047530, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0020160, 0.003928,0.0029040, 0.021429,0.0032160, 0.053594,0.0041550, 0.104079,0.0058200, 0.106639,0.0054190, 0.141593,0.0062220, 0.171090,0.0067900, 0.157977,0.0061270, 0.146071,0.0055900, 0.194148,0.0068790, 0.141131,0.0053890, 0.144981,0.0055590, 0.174798,0.0066360, 0.156500,0.0063450, 0.112212,0.0052810, 0.096013,0.0050650, 0.062977,0.0042300, 0.022261,0.0031500, 0.009917,0.0029550, 0.001780,0.0028850, 0.000000,0.0021120, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,14, 2.608161,0.1281890, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0021120, 0.000796,0.0028810, 0.009999,0.0029600, 0.026141,0.0032280, 0.046616,0.0037030, 0.152676,0.0071690, 0.139797,0.0061450, 0.136701,0.0057040, 0.092384,0.0042670, 0.078084,0.0038500, 0.164089,0.0061690, 0.220336,0.0076610, 0.139192,0.0053850, 0.407343,0.0144150, 0.323053,0.0120050, 0.191587,0.0081230, 0.170587,0.0079600, 0.186021,0.0095900, 0.104371,0.0067070, 0.013893,0.0030380, 0.004486,0.0029010, 0.000000,0.0022080, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,15, 7.905052,0.3391060, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0023040, 0.012630,0.0030770, 0.061490,0.0049250, 0.220013,0.0124890, 0.408388,0.0198180, 0.533587,0.0229180, 0.647422,0.0251320, 0.729641,0.0262980, 0.811422,0.0280990, 0.620773,0.0256810, 0.872522,0.0360640, 0.822181,0.0308500, 0.903873,0.0367200, 0.431786,0.0170600, 0.170228,0.0068020, 0.142512,0.0063420, 0.121322,0.0059800, 0.200419,0.0112500, 0.111389,0.0068770, 0.058963,0.0048580, 0.024131,0.0035340, 0.000352,0.0020170, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,16, 6.847001,0.3199300, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000211,0.0023050, 0.017520,0.0032350, 0.130602,0.0087760, 0.268175,0.0149710, 0.418509,0.0202160, 0.554379,0.0237560, 0.653931,0.0258700, 0.765139,0.0327080, 0.652530,0.0362360, 0.565356,0.0262360, 0.353020,0.0117140, 0.354572,0.0117570, 0.279602,0.0095740, 0.333632,0.0117190, 0.288354,0.0107280, 0.246454,0.0100070, 0.332211,0.0167910, 0.293239,0.0170050, 0.276439,0.0164890, 0.054987,0.0046630, 0.008131,0.0029600, 0.000000,0.0022080, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,17, 7.190182,0.3350630, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000377,0.0024010, 0.014598,0.0031260, 0.070170,0.0053210, 0.251278,0.0143320, 0.320164,0.0157360, 0.402633,0.0185260, 0.401223,0.0159110, 0.279665,0.0103970, 0.430048,0.0147380, 0.505933,0.0166630, 0.479047,0.0158760, 0.655350,0.0281420, 0.544441,0.0257110, 0.549012,0.0261770, 0.637185,0.0295100, 0.576492,0.0290680, 0.363973,0.0189820, 0.452104,0.0228690, 0.184688,0.0117460, 0.051982,0.0044230, 0.019026,0.0032820, 0.000786,0.0021160, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,18,         ,         , 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000414,0.0024040, 0.033184,0.0038620, 0.101316,0.0070310, 0.166557,0.0095730, 0.446711,0.0230360, 0.356552,0.0164840, 0.608392,0.0256840, 0.748586,0.0308440, 0.837420,0.0280880, 0.920026,0.0299740, 0.813019,0.0299320, 0.896671,0.0288910, 0.790416,0.0328850, 0.851575,0.0290220, 0.687356,0.0304320, 0.439509,0.0177760,         ,         , 0.005913,0.0028980, 0.011080,0.0029560, 0.115514,0.0082040, 0.038546,0.0042020, 0.003436,0.0023270, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,07,19, 8.775026,0.4501240, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0024960, 0.023766,0.0036240, 0.152565,0.0111700, 0.129832,0.0089770, 0.388749,0.0248440, 0.363846,0.0225370, 0.498313,0.0260280, 0.747691,0.0357550, 0.492354,0.0179610, 0.681867,0.0406410, 0.802948,0.0478410, 0.944520,0.0327720, 0.782678,0.0320580, 0.679416,0.0297070, 0.558108,0.0293850, 0.521225,0.0230300, 0.402151,0.0205040, 0.323704,0.0175590, 0.165953,0.0104830, 0.101955,0.0074970, 0.011299,0.0030330, 0.002078,0.0022130, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
