"datetime","hourly_temp_27","hourly_light_27","hourly_turbidity","hourly_rain","hourly_flow"
2020-12-29 03:00:00,16.771279296875,0,12.2232,0,0.104
2020-12-29 04:00:00,16.599677734375,0,12.2943333333333,0,0.099
2020-12-29 05:00:00,16.299375,0,12.3566896551724,0,0.095
2020-12-29 06:00:00,16.1277734375,54.48,12.3384666666667,0,0.095
2020-12-29 07:00:00,15.87037109375,500.64,12.4068,0,0.095
2020-12-29 08:00:00,15.87037109375,1995.52,12.3059,0,0.09
2020-12-29 09:00:00,15.956171875,1002.88,12.291275862069,0,0.09
2020-12-29 10:00:00,16.89998046875,2093.44,12.2972333333333,0,0.09
2020-12-29 11:00:00,17.629287109375,4561.92,12.1442666666667,0,0.09
2020-12-29 12:00:00,18.229892578125,3237.12,12.1791,0,0.09
2020-12-29 13:00:00,19.81720703125,11791.36,12.2213333333333,0,0.09
2020-12-29 14:00:00,20.4178125,11668.48,12.1923333333333,0,0.085
2020-12-29 15:00:00,21.404521484375,14254.08,12.0525,0,0.09
2020-12-29 16:00:00,22.133828125,13701.12,11.9923333333333,0,0.095
2020-12-29 17:00:00,22.262529296875,5081.6,11.9329310344828,0,0.099
2020-12-29 18:00:00,21.661923828125,968.96,11.9863666666667,0,0.099
2020-12-29 19:00:00,21.447421875,776,11.9002333333333,0,0.099
2020-12-29 20:00:00,20.9326171875,413.6,11.8451,0,0.095
2020-12-29 21:00:00,20.33201171875,8.96,11.9166551724138,0,0.09
2020-12-29 22:00:00,19.73140625,0,12.2105,0,0.085
2020-12-29 23:00:00,19.259501953125,0,12.6496333333333,0,0.085
2020-12-30 00:00:00,18.916298828125,0,12.3987666666667,0,0.085
2020-12-30 01:00:00,18.61599609375,0,12.2707419354839,0,0.08
2020-12-30 02:00:00,18.401494140625,0,12.418724137931,0,0.08
2020-12-30 03:00:00,18.144091796875,0,12.5466,0,0.076
2020-12-30 04:00:00,18.015390625,0,12.5334333333333,0,0.076
2020-12-30 05:00:00,17.8437890625,0,12.6835,0,0.076
2020-12-30 06:00:00,17.715087890625,63.48,12.7266206896552,0,0.076
2020-12-30 07:00:00,17.715087890625,1095.36,12.6394333333333,0,0.071
2020-12-30 08:00:00,17.715087890625,2695.68,12.6266333333333,0,0.076
2020-12-30 09:00:00,18.015390625,3162.88,12.5315,0,0.076
2020-12-30 10:00:00,18.658896484375,6376.96,12.4401724137931,0,0.071
2020-12-30 11:00:00,19.602705078125,13557.76,12.4735,0,0.071
2020-12-30 12:00:00,20.632314453125,15810.56,12.3844666666667,0,0.071
2020-12-30 13:00:00,21.661923828125,20290.56,12.4521935483871,0,0.071
2020-12-30 14:00:00,22.133828125,4148.48,12.5845172413793,0,0.071
2020-12-30 15:00:00,22.6486328125,3537.92,12.4414333333333,0,0.071
2020-12-30 16:00:00,23.377939453125,7539.2,12.4221333333333,0,0.071
2020-12-30 17:00:00,23.635341796875,5985.28,12.4220333333333,0,0.071
2020-12-30 18:00:00,23.24923828125,3095.04,12.5600344827586,0,0.071
