"date","daily_rain","daily_WL","daily_turbidity","max_temp","total_solar_exposure"
2013-06-03,1,0.569051546391753,110.99175257732,14.3,4.390494
2013-06-04,0,0.434520833333333,121.069791666667,14.5,3.860662
2013-06-05,0,0.386864583333333,96.1458333333333,13.6,4.515559
2013-06-06,0,0.338833333333333,85.5479166666667,16.5,6.833339
2013-06-07,6,0.788510416666667,83.7197916666667,13.9,6.435353
2013-06-08,2,0.460114583333333,71.1770833333333,15,9.322832
2013-06-09,0,0.334572916666667,57.5677083333333,13.9,8.181602
2013-06-10,0,0.300583333333333,49.63125,15.6,7.941408
2013-06-11,0,0.274208333333333,44.4333333333333,14.8,2.456414
2013-06-12,0,0.395760416666667,45.528125,12.1,1.896926
2013-06-13,11,0.7746875,49.5416666666667,11.9,1.881758
2013-06-14,14.2,0.897072916666667,65.859375,12.9,3.837876
2013-06-15,0.8,0.605385416666667,82.0354166666667,13.1,5.070774
2013-06-16,0,0.491447916666667,85.975,12.9,7.840631
2013-06-17,0,0.494072916666667,94.1104166666667,10.6,3.313779
2013-06-18,2.8,0.435322916666667,118.396875,13.3,6.800624
2013-06-19,0,0.364260416666667,99.3270833333333,12.9,9.628826
2013-06-20,0,0.33725,83.396875,14.3,9.515204
2013-06-21,0,0.300666666666667,67.5302083333333,13.7,9.800528
2013-06-22,0,0.286020833333333,65.2041666666667,13.5,9.52384
2013-06-23,0,0.268645833333333,63.275,12.9,9.612703
2013-06-24,0,0.255958333333333,60.5885416666667,11,4.506837
2013-06-25,0,0.235729166666667,55.7729166666667,15.4,8.953614
2013-06-26,0,0.2390625,50.9645833333333,17.3,9.797344
2013-06-27,0,0.23921875,49.1427083333333,16.8,6.505334
2013-06-28,0,0.2373125,48.3239583333333,16.3,8.855954
2013-06-29,0,0.238927083333333,44.5833333333333,12.8,5.08964
2013-06-30,0,0.25965625,38.9125,17.7,8.309584
2013-07-01,0,0.307697916666667,36.921875,18.2,4.241313
2013-07-02,1.2,0.28940625,30.434375,17.9,9.529232
