"date","daily_rain","daily_WL","daily_turbidity","water_temp","lux"
2013-03-18,3,0.505947916666667,20.2385416666667,16.029864606,16043.8542824074
2013-03-19,0,0.3433125,15.7229166666667,18.954096266,31341.2521296296
2013-03-20,0,0.28665625,19.3645833333333,24.134163778,28005.101412037
2013-03-21,0.8,0.368208333333333,19.8302083333333,18.87054679,13952.6217824074
2013-03-22,4,0.370520833333333,15.50625,16.36406251,13687.6784490741
2013-03-23,0.2,0.305135416666667,10.4802083333333,20.95928369,26500.954375
2013-03-24,0,0.263166666666667,8.06354166666667,21.460580546,22370.8109953704
2013-03-25,0,0.243114583333333,7.38645833333333,19.956689978,26888.6192592593
2013-03-26,0,0.232104166666667,6.78333333333333,25.638054346,28929.1808101852
2013-03-27,0,0.22378125,5.93125,29.73197867,23374.7509722222
2013-03-28,23,0.911822916666667,33.3802083333333,17.283106746,16049.7693055556
2013-03-29,0,0.52140625,17.0625,14.943721418,14330.0169212963
2013-03-30,0,0.34034375,13.2666666666667,18.118601506,15074.699837963
2013-03-31,2.8,0.348239583333333,14.4010416666667,14.69307299,14319.8587268519
2013-04-01,1,0.34128125,15.8052083333333,16.865359366,14303.7685648148
2013-04-02,0,0.370010416666667,18.3760416666667,15.862765654,9395.88930555556
2013-04-03,3.2,0.339216494845361,20.3989690721649,14.191776134,12275.0921296296
2013-04-04,0,0.282541666666667,14.6666666666667,16.531161462,26184.5027546296
2013-04-05,0,0.255708333333333,12.8114583333333,20.625085786,21021.4076851852
2013-04-06,0,0.24196875,11.4729166666667,22.713822686,24195.8250925926
2013-04-07,0,0.317104166666667,16.50625,23.215119542,16056.1841898148
2013-04-08,0,0.319333333333333,20.634375,18.285700458,18223.4675925926
2013-04-09,0,0.262197916666667,12.196875,18.703447838,21764.4695833333
2013-04-10,0,0.254375,10.4989583333333,20.374437358,23545.5467361111
2013-04-11,0,0.247791666666667,10.95,13.85757823,4749.72263888889
2013-04-12,0,0.239427083333333,9.71354166666667,22.797372162,21332.4893287037
2013-04-13,0,0.228541666666667,9.646875,20.207338406,4439.90476851852
2013-04-14,0,0.226052083333333,9.90520833333333,17.951502554,13120.0325
2013-04-15,5.4,0.3756875,17.9458333333333,12.60433609,7132.23013888889
2013-04-16,0,0.3205625,13.8,15.277919322,15359.1190573116
2013-04-17,0,0.267291666666667,12.75625,14.776622466,12806.224212963
